expid_x,peakid,host,nation,season,citizen,myear,sherpa,tibetan,heightm,himal,location,phost,region,pkname,pseason,pmonth
EVER01126,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01126,EVER,Nepal,Belgium,Winter,Nepal,2001,False,True,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01127,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01127,EVER,Nepal,Belgium,Winter,Mexico,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01127,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01127,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01128,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01128,EVER,Nepal,Belgium,Winter,Germany,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01129,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01129,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01130,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01130,EVER,Nepal,Belgium,Winter,New Zealand,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01130,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,UK,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,Switzerland,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,New Zealand,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,Italy,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,Japan,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01131,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
